id,actorId,action,resourceType,resourceId,changes,createdAt
cmhsjifus0009s96ugfrgxkvn,default-user,todo.created,Todo,cmhsjietn0005s96uk4dbfyrk,,2025-11-10T02:45:35.813Z
cmhsjii2e000ds96uri5wa67g,default-user,todo.updated,Todo,cmhsjietn0005s96uk4dbfyrk,,2025-11-10T02:45:38.678Z
cmhsjplhh000hs96ud27wy8qq,default-user,todo.deleted,Todo,cmhryqb2f0001i2040txp4nab,,2025-11-10T02:51:09.702Z
cmht0wv0h0003l404mk03n6lz,default-user,todo.updated,Todo,cmhorl7ma000zjl04ie0n6jlx,,2025-11-10T10:52:42.113Z
cmht0x3jo0003ky04vfk4k5v3,default-user,todo.updated,Todo,cmhouyes80009l704j1zgbmjl,,2025-11-10T10:52:53.173Z
cmht0zmyz0009l4048v68c5ws,default-user,todo.created,Todo,cmht0zmp60005l404hhd4txnz,,2025-11-10T10:54:51.659Z
cmht0znmi0007ky04smc503g5,default-user,todo.updated,Todo,cmht0zmp60005l404hhd4txnz,,2025-11-10T10:54:52.507Z
cmht0zqho0003l104h704o8gb,default-user,todo.updated,Todo,cmht0zmp60005l404hhd4txnz,,2025-11-10T10:54:56.221Z
cmht0zshu000dl4041325mzy5,default-user,todo.updated,Todo,cmht0zmp60005l404hhd4txnz,,2025-11-10T10:54:58.818Z
cmht0zvyv0007l104xvdstbah,default-user,todo.updated,Todo,cmht0zmp60005l404hhd4txnz,,2025-11-10T10:55:03.319Z
cmht0zw5q000bl104zhbnvt7q,default-user,todo.updated,Todo,cmht0zmp60005l404hhd4txnz,,2025-11-10T10:55:03.566Z
cmht1bkpv0005jm04wygxjejm,default-user,todo.created,Todo,cmht1bke70001jm04d7lvlyw6,,2025-11-10T11:04:08.611Z
cmht1bleh000fl104nu6l6715,default-user,todo.updated,Todo,cmht1bke70001jm04d7lvlyw6,,2025-11-10T11:04:09.497Z
