id,number,description,unit,createdAt,updatedAt
cmgedc0ru003ds94hh5584xj4,550-10820,FENCING MESH SECURITY FENCE 10.1-12.0,LF,2025-10-06T00:04:09.835Z,2025-10-06T00:04:09.835Z
cmgedc0tv003es94hf8wmt3h3,550-10918,FENCING SPECIAL TYPE 0.0-5.0 RESET EXISTING,LF,2025-10-06T00:04:09.908Z,2025-10-06T00:04:09.908Z
cmgedc0w4003fs94hjmaaa0az,550-10929,FENCING SPECIAL TYPE 5.1-6.0 SPECIAL FEATURES,LF,2025-10-06T00:04:09.989Z,2025-10-06T00:04:09.989Z
cmgdwls2a0004s947afp3zq27,515-11,PIPE HANDRAIL - GUIDERAIL STEEL,LF,2025-10-05T16:15:51.635Z,2025-10-05T16:15:51.635Z
cmgdwls5v0005s947che2x2ly,515-12,PIPE HANDRAIL - GUIDERAIL ALUMINUM,LF,2025-10-05T16:15:51.764Z,2025-10-05T16:15:51.764Z
cmgdwls830006s947or0xyu1b,515-141,PIPE HANDRAIL - GUIDERAIL RELOCATE STEEL,LF,2025-10-05T16:15:51.843Z,2025-10-05T16:15:51.843Z
cmgdwlsaf0007s947iwg1n912,515-1-42,PIPE HANDRAIL - GUIDERAIL RELOCATE ALUMINUM,LF,2025-10-05T16:15:51.927Z,2025-10-05T16:15:51.927Z
cmgdwlscr0008s947jsm3zrxh,515-1-100,PIPE HANDRAIL INSTALL ONLY- MAINTENANCE USE ONLY,LF,2025-10-05T16:15:52.011Z,2025-10-05T16:15:52.011Z
cmgdwlsf70009s947auwkn9fn,515-2-111,"PEDESTRIAN / BICYCLE RAILING NS 42"" TYPE 1",LF,2025-10-05T16:15:52.099Z,2025-10-05T16:15:52.099Z
cmgdwlshj000as947kfcaboxl,515-2-211,"PEDESTRIAN / BICYCLE RAILING STEEL 42"" TYPE 1",LF,2025-10-05T16:15:52.183Z,2025-10-05T16:15:52.183Z
cmgdwlsjz000bs947e8mlzgr1,515-2-212,"PEDESTRIAN / BICYCLE RAILING STEEL 42"" TYPE 2",LF,2025-10-05T16:15:52.271Z,2025-10-05T16:15:52.271Z
cmgdwlsm7000cs9476yfb33mi,515-2-213,"PEDESTRIAN / BICYCLE RAILING STEEL 42"" TYPE 3",LF,2025-10-05T16:15:52.351Z,2025-10-05T16:15:52.351Z
cmgdwlsom000ds9471xdozsxe,515-2-215,"PEDESTRIAN / BICYCLE RAILING STEEL 42"" TYPE 5",LF,2025-10-05T16:15:52.438Z,2025-10-05T16:15:52.438Z
cmgdwlsqz000es94752pshk0o,515-2-221,"PEDESTRIAN / BICYCLE RAILING STEEL ONLY 54"" TYPE 1",LF,2025-10-05T16:15:52.523Z,2025-10-05T16:15:52.523Z
cmgdwlst7000fs947gzfrzr7z,515-2-231,"PEDESTRIAN / BICYCLE RAILING STEEL ONLY 48"" TYPE 1",LF,2025-10-05T16:15:52.603Z,2025-10-05T16:15:52.603Z
cmgdwlsvj000gs947car06ypx,515-2-311,"PEDESTRIAN / BICYCLE RAILING ALUMINUM ONLY 42"" TYPE 1",LF,2025-10-05T16:15:52.687Z,2025-10-05T16:15:52.687Z
cmgdwlsxv000hs947rrpa9wpw,515-2-312,"PEDESTRIAN / BICYCLE RAILING ALUMINUM 42"" TYPE 2",LF,2025-10-05T16:15:52.771Z,2025-10-05T16:15:52.771Z
cmgdwlt0d000is947fboa5jzg,515-2-313,"PEDESTRIAN / BICYCLE RAILING ALUMINUM 42"" TYPE 3",LF,2025-10-05T16:15:52.861Z,2025-10-05T16:15:52.861Z
cmgdwlt2y000js947ofkaxv1e,515-2-314,"PEDESTRIAN / BICYCLE RAILING ALUMINUM 42"" TYPE 4",LF,2025-10-05T16:15:52.955Z,2025-10-05T16:15:52.955Z
cmgdwlt5b000ks947qpsnlfj0,515-2-321,"PEDESTRIAN / BICYCLE RAILING ALUMINUM ONLY54"" TYPE 1",LF,2025-10-05T16:15:53.040Z,2025-10-05T16:15:53.040Z
cmgdwlt7j000ls947qgxvt1sh,515-2-331,"PEDESTRIAN / BICYCLE RAILING ALUMINUM ONLY 48"" TYPE 1 PICKET INFILL",LF,2025-10-05T16:15:53.119Z,2025-10-05T16:15:53.119Z
cmgdwlt9v000ms947hrv9evrj,515-2-411,"PEDESTRIAN / BICYCLE RAILING SPECIAL MATERIALS- WEATHERING STEEL 42"" TYPE 1",LF,2025-10-05T16:15:53.203Z,2025-10-05T16:15:53.203Z
cmgdwltck000ns947wjbd534z,515-2-500,PEDESTRIAN / BICYCLE RAILING RELOCATE,LF,2025-10-05T16:15:53.300Z,2025-10-05T16:15:53.300Z
cmgdwltey000os947gni7wxwh,515-2-600,PEDESTRIAN / BICYCLE RAILING REPLACE INFILL PANEL,EA,2025-10-05T16:15:53.387Z,2025-10-05T16:15:53.387Z
cmgdwlthj000ps9470zf7vg6m,515-2-601,PEDESTRIAN / BICYCLE RAILING POWDER COAT REPLACEMENT PANEL,EA,2025-10-05T16:15:53.480Z,2025-10-05T16:15:53.480Z
cmgdwltjr000qs9472ffmfgq9,515-2-703,"PEDESTRIAN/ BICYCLE RAILING ALUMINUM MODIFIED 30"" TYPE 1",LF,2025-10-05T16:15:53.559Z,2025-10-05T16:15:53.559Z
