id,taskId,title,done,order
cmhhz9cy6000fs9c19xxv7dg2,cmhhz8lx50007s9c1rjqia099,Meet with Sebastian to discuss layout of gates and fence,false,100
cmhore9xw0003ky045zlrcqve,cmhor8j8w0007jl04ysigbh9o,222 Lf of Tl-3 Standard w Beam connect to existing and a parallel end treatment,false,200
cmhorgkig000rjl04jtmviqiv,cmhor8j8w0007jl04ysigbh9o,Needs Survey to be done,false,400
cmhorhq4u000vjl04cqfmcgq0,cmhor8j8w0007jl04ysigbh9o,Chris Gomez said he is calling for utility locates please confirm what you want to do,false,500
cmhj7utv0000lju043vwlwv42,cmhj7ueqx000fju04ehmi35ag,Have Mike take rest of the material to the their yard,true,100
cmhj9406a0005l304tocfvg23,cmhj8jrye0009i6043vzf3q5g,Downrite Fort Myers : Gate with Slats TBD 35' double roll gate 12098,false,600
cmhjcfovb006dji04vnh9en4q,cmhj8jrye0009i6043vzf3q5g,"Ozinga Solemia: 36'6"" open roll gate 6' high",false,800
cmhj4iobu000hla04bvf1yhrj,cmhj4iepo0007la04vw94fv6l,Meet with Norailys,true,100
cmhj8kklw000ji604pc438ikj,cmhj8jrye0009i6043vzf3q5g,"Trans Florida LS: 15' open roll gate, 12' double swing 6' hig galv",false,300
cmhj8kp0m0005ky04ygui2sl9,cmhj8jrye0009i6043vzf3q5g,Downrite LS: 14' open double swing 6' galv,false,400
cmhj4unwc0003l204z3q4aeix,cmhj4ufmu0009jp04g60xle0k,Meet with Mike Curry,false,100
cmhj6vaek000die043kf9ocrh,cmhj6v1co0007ie04qyfmkg3a,Meet with Justin for I-95 SB areas,false,100
cmhj8k32v000fi6041mzzd908,cmhj8jrye0009i6043vzf3q5g,Central Civil NDWWTP: 27 Double swing 8' gate,false,100
cmhj8kciw0001ky04f5ha5qpx,cmhj8jrye0009i6043vzf3q5g,GGI T6413: 5' open single swing gate,false,200
cmhj8n1k70003ju04oh880v8g,cmhj8jrye0009i6043vzf3q5g,Stock: Pipe Rail Transitions,false,500
cmhj99bln0009l304hen54d0h,cmhj8jrye0009i6043vzf3q5g,"General Asphalt T6603: 10'6"" pipe hand rail aluminum",false,700
cmhjhx3ps0007le04mpxx273r,cmhj4iepo0007la04vw94fv6l,"5 Posts,2-25’Panels",false,200
cmhjhz7vr000zle0447diru3s,cmhj4iepo0007la04vw94fv6l,No Closure Needed,false,300
cmhoramn6000fjl04zj9t1xfv,cmhor8j8w0007jl04ysigbh9o,Check plans to confirm end treatments,false,100
cmhorfbfk000jjl04xpc1hy2m,cmhor8j8w0007jl04ysigbh9o,232 Lf of Tl-3 Standard w beam connect to existing and a parallel end treatment,false,300
