id,title,note,isCompleted,isImportant,myDay,dueAt,remindAt,repeatRule,position,createdAt,updatedAt,listId,allDay,dueDate,reminderEnabled,reminderOffsets,lastNotifiedAt,projectId,updatedById,sortOrder
cmhnr9g1l0001kw04y5prkh45,Send email to Emmanuel regarding guardrail,,true,false,false,,,,18,2025-11-06T18:23:42.200Z,2025-11-08T21:01:31.541Z,cmhm0ruld0000kv040dnwvc9g,false,,false,,,,,0
cmhoxyye00001l1042v6ranpz,Send invoice 12312,,true,false,false,,,,25,2025-11-07T14:19:16.247Z,2025-11-12T00:57:25.897Z,cmhm0ruld0000kv040dnwvc9g,false,,false,,,,default-user,0
cmhoxyw9m0003lg0460xmvfvg,Send invoice 12311,,true,false,false,,,,24,2025-11-07T14:19:13.499Z,2025-11-12T00:57:26.433Z,cmhm0ruld0000kv040dnwvc9g,false,,false,,,,default-user,0
cmhout3ep0001jr04271k1o5q,Send quote for Chris black point project,,true,false,false,,,,21,2025-11-07T12:50:43.968Z,2025-11-09T23:59:42.636Z,cmhm0ruld0000kv040dnwvc9g,false,,false,,,,,0
cmhoxytnc0001lg04h1d5rbn1,Send invoice 12300,,true,false,false,,,,23,2025-11-07T14:19:10.102Z,2025-11-12T00:57:26.812Z,cmhm0ruld0000kv040dnwvc9g,false,,false,,,,default-user,0
cmhsjietn0005s96uk4dbfyrk,Look over all Javiers quotes to proceed with,,true,false,false,,,,35,2025-11-10T02:45:34.476Z,2025-11-10T13:34:20.733Z,cmhm0ruld0000kv040dnwvc9g,false,,false,[],,,default-user,0
cmhp3zrjq0001k1046d6r4vef,agree with Robert for T4697 quote,,true,false,false,,,,29,2025-11-07T17:07:51.733Z,2025-11-10T13:34:31.314Z,cmhm0ruld0000kv040dnwvc9g,false,,false,,,,default-user,0
cmht8ymzm0009jo04bf2y70tt,Speak with inspector home fence,,true,false,false,,,,13,2025-11-10T14:38:01.954Z,2025-11-11T17:44:30.566Z,cmhl5gffb0000s9v9tjahneqf,false,,false,[],,,default-user,0
cmhm0tswb0001js04r499t2kp,Send question to Justin to confirm the layout of fence around generators,"Backside of wall should have fence
Fence to go base plated or around the grass",true,false,false,,,,2,2025-11-05T13:15:56.170Z,2025-11-10T15:56:20.321Z,cmhm0ruld0000kv040dnwvc9g,false,,false,[],,,default-user,0
cmhmem4ga0007jp04u12i8gjp,Ask question about the Diamond Rail Split rail,,true,false,false,,,,14,2025-11-05T19:41:52.523Z,2025-11-07T12:50:07.144Z,cmhm0ruld0000kv040dnwvc9g,false,,false,,,,,0
